profile,km,policy,mean_error,std_error,weights_mode,seed,titer,mc_trials,subgradient_method,q_min,q_max,q_mean,q_std
uniform_mid,15,MIEF,123.20289042797931,6.357288702842811,deterministic,0,1000,10,adam,0.5500902070320769,0.8491629807367633,0.7120818617019248,0.08926807350392478
uniform_mid,15,Random,4458.592663834014,398.7966144623941,deterministic,0,1000,10,adam,0.5500902070320769,0.8491629807367633,0.7120818617019248,0.08926807350392478
uniform_very_wide,3,MGF,46.8930463377732,24.952058449863134,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.599200512755587,0.23437875477762488
uniform_very_wide,3,MAF,146.64675586198365,104.12928996544117,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.599200512755587,0.23437875477762488
uniform_very_wide,3,MIEF,58.56518341193362,39.47674310097983,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.599200512755587,0.23437875477762488
uniform_very_wide,3,Random,1431.9468030288876,318.64836484001177,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.599200512755587,0.23437875477762488
uniform_very_wide,6,MGF,75.18774641092362,30.747767632371115,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.6264029964982016,0.24290039309062345
uniform_very_wide,6,MAF,1323.378095980469,136.63740100489116,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.6264029964982016,0.24290039309062345
uniform_very_wide,6,MIEF,113.65971126259589,68.11036436131333,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.6264029964982016,0.24290039309062345
uniform_very_wide,6,Random,2968.1328709449276,449.1411069381355,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.6264029964982016,0.24290039309062345
uniform_very_wide,9,MGF,96.02829790701726,12.580985139694201,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.6276818682794012,0.23856785406345468
uniform_very_wide,9,MAF,3315.0196971914565,207.2338024190873,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.6276818682794012,0.23856785406345468
uniform_very_wide,9,MIEF,122.92242673981809,41.17855547942954,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.6276818682794012,0.23856785406345468
uniform_very_wide,9,Random,3801.091830649224,477.62616177909234,deterministic,0,1000,10,adam,0.20216341513441702,0.9877958492734769,0.6276818682794012,0.23856785406345468
