Frame,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20,k=21,k=22,k=23,k=24,k=25,k=26,k=27,k=28,k=29,k=30,k=31,k=32,k=33,k=34,k=35,k=36,k=37,k=38,k=39,k=40,k=41,k=42,k=43,k=44,k=45,k=46,k=47,k=48,k=49,k=50,k=51,k=52,k=53,k=54,k=55,k=56,k=57,k=58,k=59,k=60,k=61,k=62,k=63,k=64,k=65,k=66,k=67,k=68,k=69,k=70,k=71,k=72,k=73,k=74,k=75,k=76,k=77,k=78,k=79,k=80,k=81,k=82,k=83,k=84,k=85,k=86,k=87,k=88,k=89,k=90,k=91,k=92,k=93,k=94,k=95,k=96,k=97,k=98,k=99,k=100
10,0.0,0.16536525278491865,0.13389482837426558,0.13451836803792117,0.1530105903510135,0.10854178443565099,0.1472943094514919,0.1246275678218598,0.15427558706247235,0.15700859453715577,0.1519519753422981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0,0.12601321895654616,0.11550895068890887,0.07979414494220871,0.08163799381030401,0.13824599129962534,0.18055432224836832,0.09884733347563779,0.11138272984198794,0.10629537388358656,0.11136807511217583,0.15967016491754127,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0,0.08727303676804354,0.14516871337808412,0.12951947056473812,0.09766261189922609,0.11230800483020908,0.12367583712727004,0.16192780346624758,0.12024923164771673,0.12564657199285245,0.11159146781952278,0.09947926019033937,0.11793921340261604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0,0.10755750150542231,0.12276241747529792,0.12331853759360278,0.15279132906291093,0.11711696769663693,0.14196545457558396,0.10349888524149364,0.1400668881102971,0.13546947656759112,0.11860025847499756,0.13857412653446644,0.1189935647802911,0.13078803566292785,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.0,0.0841290644698246,0.10806151766097682,0.10561866920364882,0.15173723456982635,0.1438418284055868,0.10154715127701375,0.13278974632606333,0.13066337898129665,0.1823272071510469,0.12616147245809806,0.142488998569541,0.12822397877397596,0.11727192205491588,0.16357720746258098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0,0.11775598381455321,0.12368353674148669,0.09352944596244406,0.12005777421427632,0.16914374194715065,0.1758602560113306,0.13700135700427285,0.12452832346147691,0.13093115529820631,0.14140070921985815,0.11764705882352944,0.13173518035441212,0.12865606274083752,0.12696640617070942,0.13624901051679295,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.0,0.08011824185620942,0.09833852367419404,0.1119954103929851,0.0990034736062867,0.08412140811550961,0.1428539258792202,0.14258252969350715,0.09832912474481337,0.08432290411776178,0.13211814721164805,0.16758596938919534,0.08230730501647743,0.09175233302113539,0.0858476725539924,0.09423635185028612,0.1359411545747985,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0.0,0.128303988579339,0.16352605243413343,0.14712488290896708,0.12867082559350607,0.15607117785955882,0.14786582133542547,0.18442128011186676,0.09447208960217524,0.13937623898824347,0.15963407904232285,0.13754662710589094,0.20313090705785253,0.15017139212924824,0.14154443873959233,0.15700108625726372,0.13873215535710492,0.15013777761259806,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.0,0.12584680782372404,0.11229612453709437,0.1303393100317749,0.14139427790814252,0.11447212005871221,0.10745063139989408,0.1452878649310252,0.12441185939980004,0.1650061150472335,0.1239436153850394,0.14062456780903387,0.11373178769174153,0.14176358517928744,0.1338713781544214,0.11281934711256991,0.1291202571139839,0.1128679814539566,0.09558773770048046,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0.0,0.10550162910670646,0.12303824139541453,0.08144838123792775,0.12889929527876853,0.10308834362781205,0.1234603842880817,0.10624868623630135,0.10672489082969427,0.16877925659072457,0.12655454254551768,0.08944920385229116,0.11089015795318058,0.1243670992187238,0.192316917395985,0.10739651662519789,0.10974790668517442,0.10112816572794092,0.08842231621623153,0.14402681217627344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0.0,0.06969946051077824,0.10547495857427891,0.13389859688387706,0.0800761151385192,0.10844922622754216,0.1008936798014799,0.10277364194188776,0.09692263936291245,0.11468536159935594,0.16009883743579179,0.13329635593083433,0.0974611480416816,0.10770344234857743,0.10874984559756551,0.1694343933416994,0.09913758955147867,0.10962197012794339,0.09847357503607501,0.08996611965792689,0.14096000530756214,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0.0,0.04904559762049154,0.0627992909107653,0.09745893410950535,0.13312777727396385,0.07696784021086145,0.12315670161518844,0.1029283412407126,0.11419573078268985,0.0878258998346434,0.10446348011094653,0.1500510000443479,0.12381447944382451,0.08051841623727252,0.09722050091823742,0.12000066362872186,0.17745256369700702,0.09486479196169673,0.09935876064101712,0.09148700010090483,0.08065810819154973,0.13569266435567962,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.0,0.04378687368487444,0.060371881149492546,0.06876189602586735,0.10516945983804626,0.12874254696215248,0.08127491852601765,0.12042303439280955,0.09856787467222483,0.11273848204615511,0.08773885440420082,0.09689801209060134,0.15080832687410028,0.11703317984249262,0.07438997631358335,0.093735726489943,0.10963257640999424,0.17666017629405273,0.08853685467697225,0.10638227257138433,0.09037106780772397,0.08372671224822348,0.13206436852409975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0.0,0.1115510657619394,0.11698217291205792,0.12318286584778826,0.1405434323525271,0.10861029507861375,0.15827222436639654,0.11261407804393608,0.14176025998249242,0.1699460375261974,0.13786453354798678,0.1504658965927299,0.13821555203710723,0.08894052532942553,0.18001749132059475,0.1426650136704265,0.13524281132181648,0.1342674161702604,0.1053805195187244,0.12199142949090724,0.10929235691392591,0.138948775800117,0.14557784029048138,0.13065129152327326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,0.0,0.13790203432208203,0.0880655988929615,0.08824135326298443,0.07888321337357784,0.08438046439754376,0.13682782741264699,0.15307852540812872,0.1054488503373262,0.12931636107762678,0.11507105778231641,0.11872515367259118,0.11633719738550186,0.12701193966146618,0.17948518027601112,0.14259715639810422,0.10538068425932212,0.108535372586674,0.12623887682667534,0.18919740746788893,0.11819788586383873,0.13536214309950656,0.11786209931286595,0.1106713350586086,0.15122452950824228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0.0,0.07392509837885597,0.1301971215075456,0.07247722095671982,0.08181230360849889,0.06852465631034388,0.10487148630852372,0.1286013779910692,0.1542525766346149,0.09723937378002634,0.12090301099014267,0.10537195901607022,0.11285623031837999,0.10624127188742083,0.1176824780892487,0.16771750743153846,0.14145476746427887,0.09678885186307185,0.11769530679430573,0.12355399262181521,0.18139329707514829,0.10838433154839577,0.131684138660089,0.11601689100615287,0.10754673822687633,0.14952562087048293,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0.0,0.06492343717716198,0.08064729917416336,0.12442634752092141,0.06319535386892905,0.06071049538394824,0.07807105150520754,0.08083344295674355,0.11093672328375381,0.13881021341056865,0.08222000285347408,0.12098532148731633,0.10543630555399874,0.11070240460827441,0.08782164157909689,0.09945555978760112,0.14693595642051083,0.12324822939315005,0.07664795644938371,0.09323684627754747,0.12404658319772399,0.18137124191720555,0.10250781763163652,0.11071899480338165,0.09894424374807476,0.08139914452949126,0.13668256468437112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,0.0,0.06737829791367855,0.09737715484341514,0.1101976769968106,0.12172632315514453,0.09182417508303964,0.09540626122888973,0.10457608481123293,0.10142972142541296,0.14213144888771478,0.15810738631255516,0.08282650448143403,0.12190923496084172,0.12712598250366358,0.1387581951407636,0.11605530822109833,0.08599008697912836,0.14529093376976654,0.13928699343016138,0.09910624511227795,0.09751389659349496,0.14222871484510147,0.18121597399271883,0.10301915863938238,0.10843433754022103,0.09298673226418386,0.10556440208010864,0.1493670192360388,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.0,0.0899099038070722,0.10334621990723902,0.12964790684779592,0.14323367975258416,0.09186935610241509,0.12123771668322847,0.12149403633993139,0.1301930141958112,0.13563435426096127,0.09922536358478584,0.14701105130736647,0.10982863696673939,0.1403549269764771,0.15998933658313652,0.12970766758164376,0.13934589249212748,0.1184680190666223,0.11108336643777306,0.16668856180471991,0.13594806245184132,0.11686714662612352,0.1375630279794795,0.14567575524253817,0.1242303211848893,0.10141846734297533,0.12793146410575873,0.13405807012840643,0.12551986133339244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.0,0.10555434106311068,0.07298435722899488,0.06154278730009355,0.08315226999252934,0.10368225355974026,0.14589897885772607,0.07938971071291034,0.08186197643942006,0.09536911495237499,0.08779210682763983,0.12439645773535368,0.14284494125308944,0.09658871389286605,0.13615821128818517,0.10921291075466089,0.12240083240133315,0.10311772286405463,0.10399968612328625,0.16003883495145632,0.1295834050611121,0.0844425909854265,0.11103421111861356,0.12928872377767564,0.1965183752417795,0.11543882413476814,0.12413306040024052,0.11076186116104825,0.0925489403735632,0.14393647579322721,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0.0,0.04775131356618756,0.10968426342089832,0.07933718873857731,0.06654401892279482,0.08842046699631556,0.09080263814985101,0.1332582266987271,0.07272933567822093,0.07665937602701689,0.08224044339020165,0.08210522701128042,0.12213685287315423,0.1302418662546141,0.08461652607668335,0.12057505728911333,0.10142784035631336,0.11135073526125239,0.09506595349258873,0.09916812977848577,0.1575100512962706,0.12332893283401136,0.0823487007355177,0.10561329390226726,0.11720205812821582,0.18495036752459415,0.0993282392887107,0.11370559500204924,0.10230701621797134,0.08788443825399317,0.127883203590326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0.0,0.07506583726843441,0.09185542548934511,0.08204013661125065,0.12175348963499444,0.1005067567567568,0.11801169590643279,0.12062811071324009,0.10017961280934895,0.10920627173448849,0.10419426294288547,0.1119607536024344,0.12027343509829014,0.0844776726680907,0.1309862316671655,0.1161117823421488,0.14442332172518413,0.13954586639576072,0.10352538658497046,0.12184436564443135,0.13746925988202363,0.12438686886868866,0.1603823741518442,0.1173573116911023,0.1400630462817023,0.11833788507453591,0.14640070952033934,0.1281470347693464,0.10787917709325245,0.13438156400989365,0.11115841151721884,0.09718855218855216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,0.0,0.07991982262435327,0.09407434260059677,0.10134740286844879,0.11520483612559396,0.13569943067374823,0.11222919183727509,0.09328748943032983,0.11800019022362462,0.13832650737590302,0.11098829184058423,0.11444283901308094,0.10518017516100997,0.1279505919137347,0.11871529919802593,0.13107004727116456,0.12028934133859137,0.14121122599704583,0.12792629760631735,0.10215095554839926,0.13194940492543705,0.13058612355351384,0.15990734453376554,0.16351420433798292,0.12620487337604025,0.13427439706818234,0.11505014512069522,0.17070000276571617,0.12838875241270398,0.11204254502590527,0.1419557333593534,0.12434205507666485,0.13450723450723445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.0,0.10631012099612325,0.11937903893025648,0.0840353905419462,0.10159020122881768,0.12235815087334778,0.09244075478573788,0.10839231774942515,0.11478148955146372,0.13135816456592553,0.13611791393456496,0.09902179799620903,0.1062808996979634,0.11033756110824733,0.11400636678829013,0.14866798919139956,0.14631217195031065,0.08821536058078894,0.12537626640521526,0.11125650758913208,0.12841266208574986,0.12566819369888427,0.09306547602162674,0.14485263068997556,0.14648943531645775,0.11181301326595072,0.10260698419199421,0.14952709555095023,0.16833059308100407,0.09913643821927998,0.11456077687241883,0.11933753572687056,0.11969109819380419,0.16560481663929938,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.0,0.09713825070536075,0.07629255989911732,0.08685448657918782,0.09941171838970564,0.10757381113997044,0.11845557012961028,0.1293024183274435,0.09882404499306119,0.1077765226236842,0.11612731464435622,0.13445109825164836,0.10433443270663478,0.1014219547122528,0.0991035293585657,0.11378809542573431,0.10682115010566084,0.1368006245187784,0.11865357014711164,0.1321389719880337,0.10255689642574095,0.07025696946168292,0.12052800187853274,0.1379103788619852,0.13012472701893418,0.15883858142829954,0.11618114919633715,0.131485216734179,0.10453746121708352,0.13625842350714357,0.12833210409861973,0.10099815981709692,0.13099721540624742,0.10853428158684297,0.12985237380922066,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.0,0.08201456061797174,0.0915667607629802,0.10036208233607269,0.09929632525410481,0.0723118495025018,0.08845073306111306,0.13021884215427593,0.10293371517481653,0.0729093434386735,0.09248982191188848,0.0860740484029342,0.13866262762257375,0.07836513622918528,0.07451732835336522,0.08001283505804424,0.0893300674167592,0.11996648044692737,0.14096270083035756,0.08262941490185283,0.12249342631759463,0.11592149042716471,0.11588681525241673,0.09718340264048897,0.11331783534881645,0.16339756856782983,0.13690562472150192,0.0922944560345943,0.08919507716172592,0.12400353803105235,0.18118103024616894,0.1027823849981383,0.11173373992788138,0.10712684392234229,0.09024423200351317,0.13379012900042686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.0,0.1182834026422247,0.08351944883019946,0.11142483928561242,0.12156635823934925,0.12704402515723268,0.13204749434857543,0.15006994715104138,0.12136906734674391,0.13556755185979974,0.1370954708337745,0.13765993784472386,0.1415582725590816,0.1227105913509009,0.13298283679657297,0.137769780177058,0.12480736990059438,0.14763511811816854,0.12407860335666698,0.15829585140577285,0.1119009780299276,0.1150154010051182,0.13294402857638754,0.10440652178849608,0.14011907629059994,0.1418531841193712,0.1322457065115299,0.1822604157863602,0.14525574009131215,0.1334996600416941,0.10580077162329826,0.12074797259141534,0.12394215620076521,0.1064341111448801,0.13828456419123658,0.1451104970852154,0.1360557134799144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0.0,0.11758217894207468,0.07982316738420647,0.09683162892622355,0.08883278059603184,0.11134752567275497,0.12702214214169405,0.08828182318415256,0.09175216369576433,0.14444068041340163,0.11836631008495868,0.09897140775400304,0.10436087308741138,0.11958078822814844,0.15921732944201394,0.10297612311870541,0.09885532356830318,0.1023962401157239,0.10350028963563263,0.14118900109855181,0.14416635201467176,0.10993539255302143,0.14572632275056863,0.1092995408965286,0.1165743579320585,0.1206813534166804,0.11403419728857911,0.16036163442598106,0.13802290634392012,0.10610611738848652,0.11709002604270091,0.13816090160188166,0.18515683913156034,0.12364246766707221,0.13604604737822734,0.12454871622379193,0.11111298491773047,0.1558146351715327,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
