Frame,Vehicle_Count,Vehicle_Locations
75,1,"(368.0,463.0,424.0,479.0)"
76,0,
77,1,"(421.0,463.0,475.0,479.0)"
78,0,
79,2,"(581.0,376.0,593.0,386.0)|(473.0,464.0,526.0,478.0)"
80,1,"(498.0,464.0,552.0,479.0)"
81,0,
82,5,"(128.0,166.0,142.0,174.0)|(474.0,436.0,527.0,454.0)|(372.0,167.0,417.0,186.0)|(549.0,465.0,602.0,479.0)|(259.0,84.0,310.0,108.0)"
83,2,"(582.0,376.0,594.0,385.0)|(354.0,220.0,406.0,242.0)"
84,2,"(128.0,166.0,140.0,174.0)|(282.0,432.0,329.0,450.0)"
85,2,"(311.0,434.0,357.0,451.0)|(549.0,438.0,598.0,456.0)"
86,1,"(336.0,434.0,383.0,452.0)"
87,2,"(291.0,464.0,341.0,478.0)|(363.0,434.0,410.0,452.0)"
88,2,"(317.0,463.0,368.0,478.0)|(320.0,216.0,372.0,239.0)"
89,2,"(342.0,464.0,393.0,478.0)|(415.0,435.0,462.0,454.0)"
90,3,"(442.0,436.0,487.0,454.0)|(371.0,464.0,419.0,478.0)|(351.0,180.0,362.0,188.0)"
91,0,
92,2,"(422.0,465.0,471.0,478.0)|(495.0,437.0,539.0,456.0)"
93,2,"(517.0,438.0,562.0,456.0)|(449.0,468.0,496.0,479.0)"
94,2,"(472.0,467.0,520.0,479.0)|(543.0,439.0,588.0,457.0)"
95,3,"(442.0,424.0,449.0,430.0)|(565.0,440.0,607.0,458.0)|(497.0,466.0,544.0,479.0)"
96,5,"(592.0,441.0,634.0,458.0)|(523.0,468.0,568.0,479.0)|(259.0,214.0,313.0,236.0)|(128.0,167.0,141.0,174.0)|(442.0,424.0,449.0,430.0)"
97,2,"(615.0,442.0,639.0,458.0)|(546.0,468.0,593.0,479.0)"
98,0,
99,0,
100,2,"(280.0,458.0,340.0,479.0)|(129.0,167.0,141.0,174.0)"
101,0,
102,4,"(209.0,0.0,639.0,117.0)|(331.0,459.0,389.0,479.0)|(398.0,248.0,468.0,272.0)|(581.0,376.0,594.0,385.0)"
103,0,
104,2,"(351.0,180.0,363.0,188.0)|(128.0,167.0,142.0,174.0)"
105,3,"(403.0,462.0,461.0,479.0)|(128.0,166.0,141.0,174.0)|(351.0,180.0,362.0,188.0)"
106,3,"(582.0,376.0,594.0,386.0)|(429.0,462.0,485.0,479.0)|(444.0,311.0,502.0,336.0)"
107,2,"(582.0,377.0,594.0,386.0)|(162.0,204.0,216.0,230.0)"
108,5,"(129.0,167.0,141.0,174.0)|(343.0,217.0,390.0,238.0)|(351.0,180.0,362.0,188.0)|(434.0,462.0,531.0,479.0)|(225.0,176.0,277.0,198.0)"
109,7,"(498.0,464.0,554.0,479.0)|(460.0,216.0,498.0,226.0)|(492.0,223.0,539.0,246.0)|(562.0,257.0,607.0,278.0)|(336.0,216.0,383.0,236.0)|(351.0,180.0,362.0,188.0)|(489.0,308.0,525.0,313.0)"
110,1,"(208.0,0.0,639.0,118.0)"
111,0,
112,1,"(568.0,465.0,621.0,479.0)"
113,0,
114,0,
115,1,"(351.0,180.0,362.0,188.0)"
116,1,"(624.0,312.0,639.0,325.0)"
117,0,
118,0,
119,1,"(283.0,242.0,353.0,265.0)"
120,2,"(276.0,240.0,346.0,264.0)|(489.0,308.0,526.0,314.0)"
121,1,"(422.0,463.0,475.0,479.0)"
122,1,"(447.0,464.0,500.0,479.0)"
123,0,
124,0,
125,0,
126,2,"(545.0,466.0,612.0,479.0)|(591.0,227.0,629.0,235.0)"
127,1,"(569.0,466.0,618.0,479.0)"
128,3,"(553.0,258.0,601.0,278.0)|(354.0,216.0,404.0,237.0)|(161.0,207.0,209.0,228.0)"
129,3,"(128.0,166.0,141.0,174.0)|(581.0,376.0,594.0,385.0)|(546.0,257.0,596.0,278.0)"
130,2,"(542.0,256.0,590.0,277.0)|(128.0,167.0,141.0,174.0)"
131,1,"(582.0,376.0,593.0,385.0)"
132,2,"(433.0,463.0,485.0,479.0)|(257.0,429.0,302.0,449.0)"
133,4,"(461.0,464.0,511.0,479.0)|(524.0,256.0,574.0,278.0)|(580.0,376.0,594.0,385.0)|(351.0,180.0,362.0,188.0)"
134,2,"(128.0,167.0,141.0,174.0)|(302.0,212.0,353.0,234.0)"
135,3,"(491.0,226.0,537.0,246.0)|(511.0,465.0,562.0,479.0)|(513.0,256.0,562.0,277.0)"
136,7,"(258.0,84.0,310.0,108.0)|(351.0,180.0,362.0,188.0)|(484.0,226.0,531.0,246.0)|(626.0,434.0,639.0,454.0)|(285.0,212.0,334.0,233.0)|(224.0,272.0,278.0,293.0)|(507.0,256.0,556.0,277.0)"
137,1,"(562.0,466.0,610.0,479.0)"
138,3,"(462.0,220.0,517.0,246.0)|(351.0,180.0,362.0,188.0)|(585.0,466.0,633.0,479.0)"
139,0,
140,0,
141,1,"(351.0,180.0,363.0,188.0)"
142,0,
143,0,
144,3,"(302.0,464.0,364.0,479.0)|(128.0,167.0,141.0,173.0)|(209.0,0.0,639.0,117.0)"
145,1,"(333.0,465.0,393.0,479.0)"
146,0,
147,0,
148,1,"(257.0,84.0,310.0,108.0)"
149,3,"(450.0,467.0,509.0,479.0)|(351.0,180.0,362.0,188.0)|(379.0,220.0,428.0,239.0)"
150,0,
151,3,"(296.0,467.0,352.0,479.0)|(351.0,180.0,362.0,188.0)|(403.0,247.0,455.0,270.0)"
152,3,"(325.0,468.0,378.0,479.0)|(248.0,181.0,299.0,200.0)|(351.0,180.0,362.0,188.0)"
153,2,"(353.0,468.0,406.0,479.0)|(562.0,468.0,617.0,479.0)"
154,1,"(581.0,377.0,594.0,386.0)"
155,4,"(453.0,194.0,495.0,214.0)|(408.0,462.0,472.0,479.0)|(505.0,225.0,551.0,246.0)|(351.0,180.0,362.0,188.0)"
156,0,
157,2,"(581.0,376.0,594.0,385.0)|(564.0,424.0,572.0,432.0)"
158,0,
159,4,"(517.0,470.0,560.0,479.0)|(417.0,245.0,455.0,252.0)|(469.0,224.0,517.0,243.0)|(358.0,357.0,388.0,369.0)"
160,0,
161,1,"(570.0,464.0,618.0,479.0)"
162,1,"(256.0,214.0,307.0,233.0)"
163,0,
164,10,"(235.0,212.0,287.0,233.0)|(424.0,278.0,472.0,300.0)|(216.0,302.0,276.0,327.0)|(258.0,84.0,310.0,108.0)|(351.0,180.0,362.0,187.0)|(129.0,167.0,141.0,174.0)|(322.0,212.0,361.0,218.0)|(300.0,245.0,352.0,266.0)|(208.0,0.0,639.0,117.0)|(193.0,264.0,237.0,284.0)"
165,2,"(329.0,188.0,373.0,206.0)|(408.0,463.0,454.0,479.0)"
166,3,"(351.0,180.0,362.0,190.0)|(128.0,167.0,141.0,174.0)|(216.0,212.0,265.0,232.0)"
167,6,"(400.0,277.0,448.0,298.0)|(257.0,84.0,311.0,108.0)|(394.0,219.0,443.0,240.0)|(163.0,268.0,193.0,287.0)|(210.0,301.0,270.0,327.0)|(303.0,185.0,346.0,204.0)"
168,2,"(393.0,276.0,441.0,298.0)|(582.0,376.0,594.0,385.0)"
169,0,
170,2,"(351.0,180.0,362.0,188.0)|(128.0,167.0,141.0,174.0)"
171,0,
172,0,
173,1,"(582.0,377.0,594.0,385.0)"
174,1,"(581.0,377.0,593.0,385.0)"
175,1,"(351.0,180.0,362.0,188.0)"
176,0,
177,0,
178,0,
179,1,"(259.0,84.0,312.0,108.0)"
180,0,
181,0,
182,0,
183,0,
184,0,
185,0,
186,0,
187,0,
188,2,"(128.0,167.0,141.0,174.0)|(169.0,168.0,186.0,176.0)"
189,0,
190,1,"(128.0,167.0,141.0,174.0)"
191,0,
192,0,
193,0,
194,0,
195,0,
196,0,
197,0,
198,1,"(208.0,0.0,639.0,117.0)"
199,0,
200,0,
201,2,"(258.0,84.0,311.0,108.0)|(265.0,176.0,275.0,182.0)"
202,0,
203,1,"(218.0,170.0,231.0,181.0)"
204,1,"(181.0,76.0,193.0,83.0)"
205,1,"(220.0,174.0,273.0,197.0)"
206,1,"(535.0,304.0,552.0,312.0)"
207,0,
208,0,
209,0,
210,1,"(581.0,377.0,593.0,385.0)"
211,0,
212,0,
213,0,
214,2,"(128.0,167.0,141.0,174.0)|(173.0,168.0,188.0,176.0)"
215,1,"(128.0,167.0,141.0,174.0)"
216,0,
217,2,"(315.0,244.0,361.0,265.0)|(582.0,377.0,594.0,386.0)"
218,0,
219,3,"(232.0,232.0,301.0,264.0)|(257.0,84.0,312.0,108.0)|(295.0,241.0,345.0,264.0)"
220,0,
221,1,"(580.0,376.0,594.0,385.0)"
222,1,"(257.0,84.0,310.0,108.0)"
223,0,
224,0,
225,2,"(467.0,466.0,524.0,479.0)|(128.0,167.0,141.0,174.0)"
226,0,
227,0,
228,4,"(0.0,0.0,91.0,109.0)|(156.0,228.0,181.0,257.0)|(128.0,167.0,141.0,174.0)|(252.0,362.0,282.0,374.0)"
229,1,"(575.0,464.0,625.0,479.0)"
230,0,
231,3,"(128.0,166.0,141.0,174.0)|(208.0,80.0,311.0,108.0)|(208.0,0.0,639.0,116.0)"
232,0,
233,2,"(122.0,226.0,137.0,248.0)|(153.0,232.0,178.0,254.0)"
234,2,"(582.0,376.0,594.0,385.0)|(258.0,84.0,311.0,108.0)"
235,0,
236,1,"(260.0,84.0,310.0,108.0)"
237,1,"(259.0,85.0,312.0,108.0)"
238,2,"(209.0,0.0,639.0,117.0)|(446.0,464.0,490.0,479.0)"
239,2,"(128.0,166.0,142.0,174.0)|(470.0,464.0,516.0,479.0)"
240,0,
241,0,
242,1,"(210.0,80.0,311.0,108.0)"
243,3,"(487.0,308.0,525.0,316.0)|(506.0,227.0,553.0,247.0)|(575.0,466.0,618.0,479.0)"
244,0,
245,0,
246,0,
247,1,"(258.0,84.0,311.0,108.0)"
248,0,
249,1,"(582.0,376.0,594.0,386.0)"
250,2,"(128.0,166.0,142.0,174.0)|(581.0,376.0,594.0,386.0)"
251,0,
252,1,"(460.0,216.0,497.0,226.0)"
253,1,"(581.0,377.0,593.0,385.0)"
254,1,"(207.0,80.0,310.0,108.0)"
255,1,"(581.0,376.0,594.0,385.0)"
256,2,"(128.0,166.0,141.0,174.0)|(581.0,376.0,594.0,385.0)"
257,1,"(578.0,232.0,621.0,250.0)"
258,1,"(581.0,377.0,593.0,385.0)"
259,0,
260,2,"(258.0,84.0,311.0,108.0)|(581.0,376.0,593.0,385.0)"
261,2,"(336.0,158.0,382.0,176.0)|(128.0,168.0,141.0,173.0)"
262,1,"(580.0,376.0,594.0,385.0)"
263,1,"(581.0,376.0,594.0,385.0)"
264,3,"(581.0,376.0,594.0,385.0)|(209.0,0.0,639.0,116.0)|(607.0,264.0,639.0,283.0)"
265,0,
266,1,"(581.0,376.0,594.0,386.0)"
267,2,"(482.0,226.0,526.0,245.0)|(393.0,352.0,423.0,366.0)"
268,3,"(432.0,438.0,474.0,456.0)|(351.0,180.0,362.0,188.0)|(581.0,376.0,594.0,385.0)"
269,1,"(351.0,180.0,362.0,188.0)"
270,0,
271,1,"(259.0,84.0,311.0,108.0)"
272,0,
273,2,"(551.0,256.0,580.0,278.0)|(329.0,186.0,347.0,206.0)"
274,0,
275,5,"(447.0,464.0,478.0,478.0)|(310.0,436.0,357.0,454.0)|(629.0,443.0,639.0,462.0)|(536.0,320.0,584.0,338.0)|(358.0,357.0,388.0,368.0)"
276,1,"(258.0,84.0,310.0,108.0)"
277,0,
278,0,
279,1,"(351.0,180.0,362.0,188.0)"
280,4,"(252.0,362.0,282.0,374.0)|(351.0,220.0,393.0,237.0)|(358.0,357.0,389.0,368.0)|(128.0,167.0,141.0,174.0)"
281,1,"(460.0,216.0,498.0,227.0)"
282,2,"(258.0,84.0,311.0,108.0)|(351.0,180.0,362.0,189.0)"
283,0,
284,0,
285,0,
286,2,"(287.0,463.0,344.0,479.0)|(358.0,357.0,388.0,369.0)"
287,1,"(318.0,464.0,370.0,478.0)"
288,0,
289,1,"(378.0,465.0,432.0,479.0)"
290,5,"(405.0,466.0,464.0,479.0)|(258.0,84.0,311.0,108.0)|(207.0,80.0,262.0,105.0)|(128.0,168.0,141.0,174.0)|(126.0,138.0,164.0,158.0)"
291,2,"(433.0,463.0,489.0,479.0)|(380.0,252.0,426.0,271.0)"
292,1,"(464.0,466.0,512.0,479.0)"
293,1,"(208.0,0.0,639.0,116.0)"
294,1,"(208.0,0.0,639.0,116.0)"
295,1,"(585.0,258.0,620.0,276.0)"
296,1,"(580.0,376.0,594.0,385.0)"
297,2,"(366.0,464.0,422.0,478.0)|(442.0,423.0,449.0,430.0)"
298,2,"(395.0,465.0,450.0,479.0)|(442.0,422.0,449.0,430.0)"
299,7,"(259.0,84.0,311.0,108.0)|(425.0,463.0,480.0,479.0)|(336.0,216.0,386.0,237.0)|(582.0,376.0,594.0,385.0)|(562.0,320.0,607.0,342.0)|(442.0,424.0,449.0,430.0)|(151.0,230.0,168.0,236.0)"
300,2,"(455.0,467.0,508.0,479.0)|(580.0,376.0,594.0,385.0)"
301,2,"(485.0,468.0,538.0,479.0)|(580.0,376.0,594.0,385.0)"
302,3,"(512.0,468.0,566.0,479.0)|(535.0,255.0,560.0,272.0)|(581.0,376.0,594.0,385.0)"
303,3,"(520.0,255.0,552.0,272.0)|(453.0,438.0,497.0,456.0)|(541.0,468.0,593.0,479.0)"
304,1,"(568.0,467.0,621.0,479.0)"
305,2,"(209.0,0.0,639.0,117.0)|(513.0,440.0,551.0,456.0)"
306,0,
307,0,
308,4,"(335.0,158.0,403.0,194.0)|(207.0,80.0,311.0,108.0)|(128.0,168.0,141.0,174.0)|(475.0,252.0,506.0,271.0)"
309,2,"(465.0,252.0,497.0,270.0)|(624.0,442.0,639.0,458.0)"
310,0,
311,1,"(304.0,158.0,361.0,193.0)"
312,1,"(434.0,250.0,469.0,268.0)"
313,0,
314,0,
315,0,
316,0,
317,1,"(582.0,376.0,593.0,385.0)"
318,2,"(192.0,154.0,262.0,190.0)|(128.0,166.0,141.0,173.0)"
319,1,"(258.0,84.0,312.0,108.0)"
320,1,"(595.0,187.0,639.0,228.0)"
321,2,"(584.0,186.0,639.0,229.0)|(208.0,0.0,639.0,118.0)"
322,1,"(573.0,185.0,639.0,226.0)"
323,1,"(560.0,185.0,639.0,228.0)"
324,0,
325,0,
326,0,
327,1,"(130.0,168.0,141.0,174.0)"
328,0,
329,0,
330,0,
331,1,"(128.0,167.0,141.0,174.0)"
332,1,"(291.0,367.0,298.0,374.0)"
333,1,"(225.0,180.0,274.0,200.0)"
334,1,"(128.0,166.0,141.0,174.0)"
335,1,"(417.0,247.0,462.0,269.0)"
336,1,"(182.0,236.0,221.0,254.0)"
337,1,"(308.0,178.0,318.0,184.0)"
338,2,"(581.0,376.0,594.0,385.0)|(489.0,308.0,526.0,314.0)"
339,4,"(257.0,84.0,310.0,108.0)|(582.0,377.0,594.0,386.0)|(408.0,172.0,470.0,211.0)|(386.0,182.0,410.0,208.0)"
340,1,"(581.0,376.0,594.0,386.0)"
341,1,"(580.0,376.0,594.0,385.0)"
342,2,"(582.0,376.0,594.0,385.0)|(287.0,307.0,333.0,329.0)"
343,1,"(580.0,376.0,594.0,385.0)"
344,1,"(581.0,376.0,594.0,385.0)"
345,1,"(206.0,80.0,311.0,108.0)"
346,0,
347,2,"(581.0,376.0,594.0,386.0)|(259.0,84.0,310.0,108.0)"
348,3,"(292.0,463.0,336.0,479.0)|(582.0,376.0,594.0,385.0)|(628.0,292.0,639.0,310.0)"
349,0,
350,2,"(128.0,166.0,141.0,174.0)|(582.0,376.0,594.0,386.0)"
351,1,"(388.0,464.0,436.0,478.0)"
352,1,"(420.0,465.0,466.0,479.0)"
353,0,
354,0,
355,0,
356,0,
357,0,
358,1,"(524.0,286.0,574.0,308.0)"
359,2,"(147.0,167.0,171.0,194.0)|(513.0,285.0,562.0,308.0)"
360,1,"(502.0,284.0,552.0,306.0)"
361,2,"(287.0,461.0,340.0,478.0)|(491.0,283.0,541.0,306.0)"
362,2,"(321.0,462.0,373.0,478.0)|(481.0,278.0,530.0,306.0)"
363,0,
364,0,
365,0,
366,0,
367,0,
368,0,
369,0,
370,1,"(581.0,377.0,594.0,385.0)"
371,1,"(582.0,377.0,594.0,385.0)"
372,2,"(128.0,166.0,142.0,174.0)|(259.0,84.0,310.0,108.0)"
373,0,
374,0,
375,1,"(581.0,377.0,594.0,385.0)"
376,0,
377,1,"(582.0,377.0,594.0,386.0)"
378,0,
379,0,
380,0,
381,1,"(351.0,180.0,362.0,188.0)"
382,0,
383,0,
384,2,"(485.0,437.0,535.0,456.0)|(442.0,424.0,450.0,429.0)"
385,0,
386,0,
387,0,
388,0,
389,1,"(351.0,180.0,362.0,188.0)"
390,0,
391,0,
392,1,"(128.0,167.0,141.0,174.0)"
393,0,
394,0,
395,1,"(350.0,464.0,405.0,479.0)"
396,1,"(581.0,376.0,593.0,386.0)"
397,0,
398,0,
399,2,"(336.0,431.0,383.0,450.0)|(128.0,166.0,142.0,173.0)"
400,2,"(468.0,466.0,520.0,479.0)|(367.0,431.0,414.0,449.0)"
401,1,"(491.0,466.0,544.0,479.0)"
402,2,"(513.0,466.0,566.0,479.0)|(582.0,376.0,594.0,385.0)"
403,0,
404,0,
405,0,
406,0,
407,0,
408,0,
409,0,
410,0,
411,1,"(259.0,84.0,310.0,108.0)"
412,0,
413,0,
414,1,"(581.0,257.0,629.0,278.0)"
415,0,
416,4,"(128.0,166.0,141.0,174.0)|(469.0,455.0,525.0,479.0)|(581.0,376.0,594.0,385.0)|(558.0,322.0,602.0,340.0)"
417,1,"(547.0,432.0,639.0,478.0)"
418,4,"(456.0,220.0,501.0,246.0)|(581.0,376.0,594.0,385.0)|(516.0,456.0,573.0,479.0)|(259.0,84.0,310.0,108.0)"
419,0,
420,3,"(580.0,376.0,594.0,385.0)|(436.0,225.0,482.0,244.0)|(563.0,457.0,619.0,479.0)"
421,3,"(208.0,0.0,639.0,118.0)|(587.0,457.0,639.0,479.0)|(581.0,376.0,594.0,385.0)"
422,4,"(609.0,458.0,639.0,479.0)|(416.0,224.0,464.0,252.0)|(128.0,167.0,141.0,173.0)|(580.0,376.0,593.0,385.0)"
423,2,"(402.0,462.0,465.0,479.0)|(128.0,166.0,141.0,174.0)"
424,2,"(128.0,167.0,141.0,174.0)|(207.0,80.0,311.0,108.0)"
425,3,"(128.0,166.0,142.0,174.0)|(204.0,80.0,310.0,108.0)|(175.0,204.0,206.0,226.0)"
426,0,
427,1,"(499.0,467.0,528.0,479.0)"
428,1,"(526.0,465.0,585.0,479.0)"
429,2,"(547.0,465.0,609.0,479.0)|(581.0,376.0,594.0,385.0)"
430,1,"(209.0,0.0,639.0,116.0)"
431,0,
432,2,"(349.0,185.0,395.0,204.0)|(206.0,80.0,312.0,108.0)"
433,0,
434,0,
435,1,"(582.0,376.0,594.0,385.0)"
436,0,
437,0,
438,0,
439,1,"(128.0,166.0,141.0,174.0)"
440,1,"(257.0,84.0,310.0,108.0)"
441,1,"(581.0,376.0,593.0,385.0)"
442,0,
443,0,
444,0,
445,0,
446,1,"(208.0,0.0,639.0,118.0)"
447,1,"(581.0,376.0,594.0,385.0)"
448,1,"(209.0,0.0,639.0,116.0)"
449,0,
450,1,"(207.0,80.0,312.0,108.0)"
451,0,
452,1,"(581.0,376.0,593.0,386.0)"
453,1,"(582.0,377.0,594.0,386.0)"
454,0,
455,0,
456,0,
457,2,"(209.0,0.0,639.0,118.0)|(128.0,166.0,141.0,174.0)"
458,4,"(411.0,463.0,461.0,479.0)|(582.0,376.0,594.0,385.0)|(442.0,424.0,449.0,430.0)|(452.0,463.0,473.0,470.0)"
459,0,
460,2,"(463.0,464.0,507.0,479.0)|(442.0,424.0,449.0,430.0)"
461,3,"(487.0,465.0,534.0,479.0)|(581.0,376.0,594.0,385.0)|(442.0,424.0,450.0,430.0)"
462,3,"(512.0,466.0,556.0,479.0)|(581.0,376.0,593.0,385.0)|(442.0,422.0,450.0,430.0)"
463,3,"(581.0,376.0,594.0,385.0)|(537.0,465.0,582.0,478.0)|(442.0,424.0,449.0,430.0)"
464,5,"(311.0,359.0,341.0,371.0)|(341.0,244.0,407.0,270.0)|(561.0,466.0,608.0,479.0)|(366.0,277.0,415.0,296.0)|(358.0,357.0,388.0,368.0)"
465,2,"(585.0,466.0,628.0,478.0)|(582.0,376.0,594.0,385.0)"
466,1,"(128.0,166.0,141.0,174.0)"
467,0,
468,0,
469,0,
470,2,"(581.0,376.0,593.0,386.0)|(259.0,84.0,311.0,108.0)"
471,1,"(258.0,84.0,312.0,108.0)"
472,2,"(603.0,262.0,639.0,281.0)|(580.0,376.0,594.0,385.0)"
473,0,
474,0,
475,0,
476,0,
477,0,
478,2,"(403.0,461.0,454.0,478.0)|(546.0,256.0,591.0,278.0)"
479,2,"(351.0,180.0,362.0,188.0)|(431.0,462.0,480.0,478.0)"
480,2,"(258.0,84.0,311.0,108.0)|(442.0,424.0,449.0,429.0)"
481,5,"(581.0,376.0,594.0,386.0)|(485.0,463.0,533.0,479.0)|(442.0,424.0,450.0,430.0)|(257.0,84.0,311.0,108.0)|(310.0,433.0,355.0,451.0)"
482,2,"(512.0,463.0,557.0,479.0)|(507.0,256.0,554.0,277.0)"
483,4,"(537.0,463.0,583.0,478.0)|(581.0,376.0,593.0,385.0)|(563.0,424.0,572.0,432.0)|(581.0,464.0,613.0,472.0)"
484,3,"(393.0,434.0,443.0,454.0)|(581.0,376.0,594.0,385.0)|(563.0,463.0,608.0,479.0)"
485,1,"(589.0,464.0,633.0,479.0)"
486,0,
487,0,
488,1,"(581.0,376.0,594.0,386.0)"
489,0,
490,2,"(128.0,166.0,141.0,173.0)|(208.0,81.0,312.0,108.0)"
491,2,"(128.0,166.0,141.0,174.0)|(351.0,180.0,362.0,188.0)"
492,1,"(558.0,257.0,608.0,278.0)"
493,1,"(548.0,257.0,597.0,277.0)"
494,1,"(582.0,376.0,594.0,385.0)"
495,1,"(295.0,463.0,358.0,479.0)"
496,2,"(325.0,464.0,388.0,479.0)|(208.0,0.0,639.0,116.0)"
497,0,
498,1,"(258.0,84.0,311.0,108.0)"
499,2,"(208.0,0.0,639.0,117.0)|(351.0,180.0,362.0,188.0)"
500,0,
501,0,
502,0,
503,1,"(208.0,0.0,638.0,116.0)"
504,0,
505,0,
506,1,"(194.0,264.0,255.0,292.0)"
507,1,"(584.0,257.0,637.0,280.0)"
508,0,
509,3,"(302.0,181.0,345.0,202.0)|(128.0,166.0,141.0,174.0)|(201.0,241.0,252.0,261.0)"
510,0,
511,1,"(581.0,376.0,594.0,385.0)"
512,0,
513,0,
514,0,
515,1,"(582.0,376.0,594.0,386.0)"
516,0,
517,0,
518,0,
