Frame,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20,k=21,k=22,k=23,k=24,k=25,k=26,k=27,k=28,k=29,k=30,k=31,k=32,k=33,k=34,k=35,k=36,k=37,k=38,k=39,k=40,k=41,k=42,k=43,k=44,k=45,k=46,k=47,k=48,k=49,k=50,k=51,k=52,k=53,k=54,k=55,k=56,k=57,k=58,k=59,k=60,k=61,k=62,k=63,k=64,k=65,k=66,k=67,k=68,k=69,k=70,k=71,k=72,k=73,k=74,k=75,k=76,k=77,k=78,k=79,k=80,k=81,k=82,k=83,k=84,k=85,k=86,k=87,k=88,k=89,k=90,k=91,k=92,k=93,k=94,k=95,k=96,k=97,k=98,k=99,k=100
27,0.0,0.1349458278445459,0.27216774521717013,0.29563273612918295,0.2999700362893829,0.31204434402235015,0.21090149056707552,0.2755580771161106,0.2284694942386809,0.36354097518148143,0.3642019557914108,0.38295612034146,0.38369960406080417,0.37333369740327116,0.3779884913418413,0.2837147680406864,0.2522369972842258,0.2543634677843506,0.2601552781709776,0.26307560259571283,0.24462383415108513,0.25675195642579574,0.25437177289741086,0.35802368001398077,0.23760521792781275,0.2444947062396945,0.23701854493580599,0.3590393084771726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.0,0.6567493048714377,0.6897330982178014,0.6504838445136953,0.6745922990506524,0.6682430042263223,0.6839062937498055,0.7284203417891102,0.7895509340700849,0.7508852814899596,0.6995105639154886,0.7166365811678771,0.7083423860751243,0.7183387802922858,0.7429179679875073,0.7080664099335049,0.7571449461387232,0.7553559608440381,0.7581138611457339,0.740312889081362,0.7496845530614955,0.7604036346875618,0.7377173995801565,0.7232888464169753,0.7131626775097804,0.7563616144436449,0.7465850059191429,0.7521609602818218,0.7207028369143026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.0,0.6878125795243857,0.21553979495096542,0.2692821057827429,0.37309871312768517,0.3975227036749974,0.39575949305291114,0.4059964450276906,0.31094401617591305,0.3658507133956085,0.3209172942533415,0.4348969519936615,0.4298303981311722,0.45538163472789706,0.44541366602427557,0.4447262550288613,0.44344607871191744,0.33859733978234585,0.3191810428755014,0.318424999877854,0.3213016490912084,0.31829425150885526,0.3170678575318593,0.31623062628306786,0.31511641935094703,0.4126501877961969,0.3180649569624484,0.3078149920255183,0.30777036179592643,0.4196429885361941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0.0,0.3033380648337777,0.6304340734264593,0.27861809260263026,0.3258826475252483,0.2343472365822401,0.2529017911687804,0.246070021720723,0.2647611099520134,0.36015540082435615,0.41814863772831634,0.36899423790523955,0.30199240195786536,0.2900294327452779,0.32059375225452713,0.3050197974105473,0.3056711202341025,0.29672401885716004,0.37954222164748486,0.36319027034630513,0.36333130619868814,0.3711618635257805,0.36535097851556053,0.3657196594733716,0.37073238846610346,0.3592213773160544,0.26506344949742056,0.3681700504155879,0.3617600804163492,0.35931295544792075,0.2760001480786791,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,0.0,0.14427002510839237,0.3524529656020916,0.6530569827031872,0.32202191983666695,0.34575801264278583,0.273585712366084,0.2798502254507498,0.28091380722672254,0.29786200194363455,0.3862555066079295,0.432528135564209,0.3948463772750287,0.325818069805464,0.30743487969731254,0.31794289047830293,0.29075638561513883,0.3288941591413542,0.31643477062956327,0.37513826303486686,0.38137861081436886,0.37869681255017684,0.39198301431833216,0.36072769757155976,0.38476719898689205,0.3853168660665883,0.38233274240173765,0.28424591916832,0.3831926365666358,0.3828089694204738,0.38256092667107733,0.29755221751507954,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,0.0,0.2681710403319578,0.28960061632593814,0.2720883732900441,0.6898970818497406,0.23561890780340888,0.2406994750160517,0.3748972507709465,0.3859240548348781,0.3779280782628648,0.3884958715740343,0.27640335572573316,0.32716416353775557,0.28098983511458364,0.3858967558065758,0.3965064870671845,0.38047478249771327,0.3895768506170487,0.4225553325164889,0.38494686637101494,0.2660641235018433,0.2651598560237137,0.27262967507192415,0.2569184821173256,0.2529682394316587,0.2756875875865168,0.2600837732931589,0.25515793461617386,0.38927017118138896,0.2823874910707199,0.28283187506864216,0.27755645493643866,0.39422468688061396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
33,0.0,0.1583943127214552,0.28939890335454577,0.2871781188973159,0.26318363560274893,0.724265825237344,0.21029918968303773,0.25364043380930645,0.36773514996850076,0.3725391296960945,0.36648575449970144,0.37771965855850076,0.26497303813064377,0.30949363365579496,0.26722811217510256,0.38937535563001835,0.37784591228330755,0.3939481576692374,0.38600006463497394,0.3828999511427176,0.3876210620060113,0.2656104078382683,0.24624236667119015,0.2476092505810188,0.2692129222202666,0.25940331540138706,0.2582710662069041,0.26364006732923784,0.2587609978483628,0.36778763944304205,0.25497692886673284,0.2672669457500455,0.2617585805858329,0.37924084830474136,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,0.0,0.12341834659850115,0.1840671672808889,0.31358867385608424,0.3011143438065176,0.2857341483640625,0.7394793512334742,0.22590531848865503,0.2562124828821807,0.3671424233221986,0.3762325487999493,0.363659126506345,0.37984591121246347,0.2600127009877953,0.3087429214946388,0.2634295423216251,0.3863359924176605,0.383132911392405,0.3892954728100724,0.39207836000642293,0.37740421185317197,0.3744275684119055,0.27390351229813537,0.24378789357802144,0.24994306042102754,0.2665952548442796,0.2733192013054958,0.25710767546860036,0.26586226972401605,0.26668006643463915,0.37312450076639103,0.2542337820697764,0.2690483431236028,0.2570468454915882,0.38196648982534676,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.0,0.30269662790494545,0.3298846480847446,0.36713451003587594,0.30172780284138856,0.293107587339693,0.4422259390898321,0.7661839044813149,0.3948628189342448,0.40901656439697476,0.3432224383995359,0.35362298016535854,0.3497817616368778,0.3555805637739822,0.4196573150065901,0.3890524170723424,0.41976301654565573,0.36635344729989816,0.36198638318203535,0.37055140964374844,0.3594862820920728,0.3583082166873147,0.34757073241690306,0.41204581575053434,0.4012579237130135,0.4069245072925637,0.42223287324504954,0.42757305877117313,0.4136220267296382,0.42015907666371277,0.4243340694039961,0.3435090073178688,0.41574749516611,0.4231817568479288,0.4198436239122375,0.35319631901840487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,0.0,0.2113381870247052,0.2822033751322476,0.3068270109689214,0.31224525265890346,0.2178429595237008,0.24148571282849018,0.40886116410784035,0.7052576282128368,0.3617075381995887,0.38080105199715086,0.3044877038006434,0.30842766385784726,0.3023796267157278,0.30559135187956143,0.3864017288860865,0.4307156606181197,0.3849513932491827,0.3105143036553115,0.30275340613498425,0.29942464886202125,0.2826144233664559,0.3101558762681643,0.3014594129387852,0.37394793771020607,0.372181295358072,0.3796702184132613,0.38965044920674297,0.3654718566227947,0.38460814595857273,0.38972968007910225,0.38150304555155934,0.2967148081571933,0.3920031060146223,0.3897183273761565,0.3850438375931958,0.30757308172061604,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,0.0,0.2564225590721424,0.31468433495811565,0.1579919890739232,0.1882800212720216,0.23278178475463163,0.348955439493277,0.3361204106219846,0.2972473049842873,0.746076531648488,0.23964706852477946,0.26638042870557843,0.36069564466418735,0.3733098994086317,0.36245225157368055,0.3656340350743962,0.24893561701712763,0.2991980593143705,0.2555879757696493,0.3646355583079781,0.3684515817176003,0.3916259881636356,0.3759426394997326,0.37725562466405593,0.37077379347533024,0.2666836779013204,0.23546740092221619,0.2398193281471782,0.254829911356921,0.2570184010467562,0.23824857275197975,0.2480147174884475,0.24959057018488984,0.36058428619264316,0.2502215299602072,0.24575009407876436,0.24802892555181855,0.3707304802423632,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
